date_checked,origin,destination,price_usd,airlines,out_departure,ret_departure,seats_left
2025-11-08,ORD,AMS,854.63,KL,2026-03-22T17:25:00,2026-04-02T12:35:00,9
2025-11-08,ORD,BCN,,,,,
2025-11-08,ORD,BEG,,,,,
2025-11-08,ORD,BRU,750.83,UA,2026-03-22T17:55:00,2026-04-02T10:15:00,9
2025-11-08,ORD,CDG,612.13,AF,2026-03-22T18:20:00,2026-04-02T13:10:00,9
2025-11-08,ORD,CPH,,,,,
2025-11-08,ORD,DUB,700.33,IB,2026-03-22T16:55:00,2026-04-02T16:40:00,9
2025-11-08,ORD,FCO,800.93,UA,2026-03-22T16:45:00,2026-04-02T09:45:00,9
2025-11-08,ORD,FRA,849.83,UA,2026-03-22T17:20:00,2026-04-02T08:50:00,9
2025-11-08,ORD,IST,892.73,TK,2026-03-22T21:20:00,2026-04-02T06:30:00,9
2025-11-08,ORD,KEF,527.43,FI,2026-03-22T19:30:00,2026-04-02T16:25:00,5
2025-11-08,ORD,KRK,,,,,
2025-11-08,ORD,LHR,761.43,UA,2026-03-22T16:45:00,2026-04-02T08:00:00,2
2025-11-08,ORD,LIS,,,,,
2025-11-08,ORD,MAD,696.93,"AY,IB",2026-03-22T18:40:00,2026-04-02T16:40:00,7
2025-11-08,ORD,MUC,828.93,UA,2026-03-22T22:50:00,2026-04-02T11:30:00,9
2025-11-08,ORD,MXP,,,,,
2025-11-08,ORD,VIE,,,,,
2025-11-08,ORD,WAW,,,,,
2025-11-08,ORD,ZRH,747.43,UA,2026-03-22T17:10:00,2026-04-02T13:05:00,9
2025-11-09,ORD,AMS,854.63,KL,2026-03-22T17:25:00,2026-04-02T12:35:00,9
2025-11-09,ORD,BCN,,,,,
2025-11-09,ORD,BEG,,,,,
2025-11-09,ORD,BRU,750.83,UA,2026-03-22T17:55:00,2026-04-02T10:15:00,9
2025-11-09,ORD,CDG,612.13,AF,2026-03-22T18:20:00,2026-04-02T13:10:00,9
2025-11-09,ORD,CPH,,,,,
2025-11-09,ORD,DUB,825.33,IB,2026-03-22T16:50:00,2026-04-02T16:40:00,9
2025-11-09,ORD,FCO,990.93,UA,2026-03-22T16:45:00,2026-04-02T09:45:00,9
2025-11-09,ORD,FRA,849.83,UA,2026-03-22T17:20:00,2026-04-02T08:50:00,9
2025-11-09,ORD,IST,897.73,TK,2026-03-22T12:50:00,2026-04-02T06:30:00,9
2025-11-09,ORD,KEF,527.43,FI,2026-03-22T19:30:00,2026-04-02T16:25:00,5
2025-11-09,ORD,KRK,,,,,
2025-11-09,ORD,LHR,761.43,UA,2026-03-22T16:45:00,2026-04-02T08:00:00,7
2025-11-09,ORD,LIS,,,,,
2025-11-09,ORD,MAD,696.93,"AY,IB",2026-03-22T18:40:00,2026-04-02T16:40:00,7
2025-11-09,ORD,MUC,830.93,UA,2026-03-22T22:50:00,2026-04-02T11:30:00,9
2025-11-09,ORD,MXP,,,,,
2025-11-09,ORD,VIE,,,,,
2025-11-09,ORD,WAW,,,,,
2025-11-09,ORD,ZRH,747.43,UA,2026-03-22T17:10:00,2026-04-02T13:05:00,9
2025-11-10,ORD,AMS,854.63,KL,2026-03-22T17:25:00,2026-04-02T12:35:00,9
2025-11-10,ORD,BCN,,,,,
2025-11-10,ORD,BEG,,,,,
2025-11-10,ORD,BRU,750.83,UA,2026-03-22T17:55:00,2026-04-02T10:15:00,9
2025-11-10,ORD,CDG,612.13,AF,2026-03-22T18:20:00,2026-04-02T13:10:00,9
2025-11-10,ORD,CPH,,,,,
2025-11-10,ORD,DUB,825.33,IB,2026-03-22T16:50:00,2026-04-02T16:40:00,9
2025-11-10,ORD,FCO,990.93,UA,2026-03-22T16:45:00,2026-04-02T09:45:00,9
2025-11-10,ORD,FRA,849.83,UA,2026-03-22T16:20:00,2026-04-02T08:50:00,9
2025-11-10,ORD,IST,897.73,TK,2026-03-22T12:50:00,2026-04-02T06:30:00,9
2025-11-10,ORD,KEF,527.43,FI,2026-03-22T19:30:00,2026-04-02T16:25:00,5
2025-11-10,ORD,KRK,,,,,
2025-11-10,ORD,LHR,761.43,UA,2026-03-22T16:45:00,2026-04-02T08:00:00,7
2025-11-10,ORD,LIS,,,,,
2025-11-10,ORD,MAD,696.93,"AY,IB",2026-03-22T18:40:00,2026-04-02T16:40:00,7
2025-11-10,ORD,MUC,830.93,UA,2026-03-22T22:50:00,2026-04-02T11:30:00,9
2025-11-10,ORD,MXP,,,,,
2025-11-10,ORD,VIE,,,,,
2025-11-10,ORD,WAW,,,,,
2025-11-10,ORD,ZRH,747.43,UA,2026-03-22T17:10:00,2026-04-02T13:05:00,9
2025-11-11,ORD,AMS,854.93,KL,2026-03-22T17:25:00,2026-04-02T12:35:00,9
2025-11-11,ORD,BCN,,,,,
2025-11-11,ORD,BEG,,,,,
2025-11-11,ORD,BRU,750.93,UA,2026-03-22T17:55:00,2026-04-02T10:15:00,9
2025-11-11,ORD,CDG,612.63,AF,2026-03-22T18:20:00,2026-04-02T13:10:00,9
2025-11-11,ORD,CPH,,,,,
2025-11-11,ORD,DUB,825.43,IB,2026-03-22T16:50:00,2026-04-02T16:40:00,9
2025-11-11,ORD,FCO,991.13,UA,2026-03-22T16:45:00,2026-04-02T09:45:00,9
2025-11-11,ORD,FRA,850.23,UA,2026-03-22T17:20:00,2026-04-02T08:50:00,9
2025-11-11,ORD,IST,897.73,TK,2026-03-22T12:50:00,2026-04-02T06:30:00,9
2025-11-11,ORD,KEF,527.53,FI,2026-03-22T19:30:00,2026-04-02T16:25:00,5
2025-11-11,ORD,KRK,,,,,
2025-11-11,ORD,LHR,762.53,UA,2026-03-22T16:45:00,2026-04-02T08:00:00,7
2025-11-11,ORD,LIS,,,,,
2025-11-11,ORD,MAD,696.93,"AY,IB",2026-03-22T18:40:00,2026-04-02T16:40:00,7
2025-11-11,ORD,MUC,831.43,UA,2026-03-22T22:50:00,2026-04-02T11:30:00,9
2025-11-11,ORD,MXP,,,,,
2025-11-11,ORD,VIE,,,,,
2025-11-11,ORD,WAW,,,,,
2025-11-11,ORD,ZRH,747.63,UA,2026-03-22T17:10:00,2026-04-02T13:05:00,9
2025-11-12,ORD,AMS,854.93,KL,2026-03-22T17:25:00,2026-04-02T12:35:00,9
2025-11-12,ORD,BCN,,,,,
2025-11-12,ORD,BEG,,,,,
2025-11-12,ORD,BRU,750.93,UA,2026-03-22T17:55:00,2026-04-02T10:15:00,9
2025-11-12,ORD,CDG,612.53,AF,2026-03-22T18:20:00,2026-04-02T13:10:00,9
2025-11-12,ORD,CPH,,,,,
2025-11-12,ORD,DUB,825.43,IB,2026-03-22T16:50:00,2026-04-02T16:40:00,9
2025-11-12,ORD,FCO,801.03,UA,2026-03-22T16:45:00,2026-04-02T09:45:00,9
2025-11-12,ORD,FRA,850.23,UA,2026-03-22T17:20:00,2026-04-02T08:50:00,9
2025-11-12,ORD,IST,897.73,TK,2026-03-22T12:50:00,2026-04-02T06:30:00,9
2025-11-12,ORD,KEF,527.53,FI,2026-03-22T19:30:00,2026-04-02T16:25:00,5
2025-11-12,ORD,KRK,,,,,
2025-11-12,ORD,LHR,762.53,UA,2026-03-22T16:45:00,2026-04-02T08:00:00,8
2025-11-12,ORD,LIS,,,,,
2025-11-12,ORD,MAD,696.93,"AY,IB",2026-03-22T18:40:00,2026-04-02T16:40:00,7
2025-11-12,ORD,MUC,831.63,UA,2026-03-22T22:50:00,2026-04-02T11:30:00,9
2025-11-12,ORD,MXP,,,,,
2025-11-12,ORD,VIE,,,,,
2025-11-12,ORD,WAW,,,,,
2025-11-12,ORD,ZRH,747.53,UA,2026-03-22T17:10:00,2026-04-02T13:05:00,9
2025-11-13,ORD,AMS,797.53,UA,2026-03-22T19:10:00,2026-04-02T12:00:00,4
2025-11-13,ORD,BCN,,,,,
2025-11-13,ORD,BEG,,,,,
2025-11-13,ORD,BRU,751.03,UA,2026-03-22T17:55:00,2026-04-02T10:15:00,9
2025-11-13,ORD,CDG,556.23,UA,2026-03-22T19:45:00,2026-04-02T11:15:00,2
2025-11-13,ORD,CPH,,,,,
2025-11-13,ORD,DUB,825.43,IB,2026-03-22T16:50:00,2026-04-02T16:40:00,9
2025-11-13,ORD,FCO,911.13,UA,2026-03-22T16:45:00,2026-04-02T09:45:00,9
2025-11-13,ORD,FRA,850.43,UA,2026-03-22T17:20:00,2026-04-02T08:50:00,9
2025-11-13,ORD,IST,897.83,TK,2026-03-22T12:50:00,2026-04-02T06:30:00,9
2025-11-13,ORD,KEF,527.53,FI,2026-03-22T19:30:00,2026-04-02T16:25:00,5
2025-11-13,ORD,KRK,,,,,
2025-11-13,ORD,LHR,761.13,UA,2026-03-22T16:45:00,2026-04-02T08:00:00,7
2025-11-13,ORD,LIS,,,,,
2025-11-13,ORD,MAD,696.93,"AY,IB",2026-03-22T18:40:00,2026-04-02T16:40:00,7
2025-11-13,ORD,MUC,831.83,UA,2026-03-22T22:50:00,2026-04-02T11:30:00,9
2025-11-13,ORD,MXP,,,,,
2025-11-13,ORD,VIE,,,,,
2025-11-13,ORD,WAW,,,,,
2025-11-13,ORD,ZRH,747.73,UA,2026-03-22T17:10:00,2026-04-02T13:05:00,9
2025-11-14,ORD,AMS,797.73,UA,2026-03-22T19:10:00,2026-04-02T12:00:00,4
2025-11-14,ORD,BCN,,,,,
2025-11-14,ORD,BEG,,,,,
2025-11-14,ORD,BRU,751.03,UA,2026-03-22T17:55:00,2026-04-02T10:15:00,9
2025-11-14,ORD,CDG,642.33,UA,2026-03-22T19:45:00,2026-04-02T11:15:00,9
2025-11-14,ORD,CPH,,,,,
2025-11-14,ORD,DUB,825.53,IB,2026-03-22T16:50:00,2026-04-02T16:40:00,9
2025-11-14,ORD,FCO,911.13,UA,2026-03-22T16:45:00,2026-04-02T09:45:00,9
2025-11-14,ORD,FRA,850.43,UA,2026-03-22T17:20:00,2026-04-02T08:50:00,9
2025-11-14,ORD,IST,897.83,TK,2026-03-22T12:50:00,2026-04-02T06:30:00,9
2025-11-14,ORD,KEF,527.53,FI,2026-03-22T19:30:00,2026-04-02T16:25:00,1
2025-11-14,ORD,KRK,,,,,
2025-11-14,ORD,LHR,760.73,UA,2026-03-22T16:45:00,2026-04-02T08:00:00,9
2025-11-14,ORD,LIS,,,,,
2025-11-14,ORD,MAD,697.03,"AY,IB",2026-03-22T18:40:00,2026-04-02T16:40:00,7
2025-11-14,ORD,MUC,831.83,UA,2026-03-22T22:50:00,2026-04-02T11:30:00,9
2025-11-14,ORD,MXP,,,,,
2025-11-14,ORD,VIE,,,,,
2025-11-14,ORD,WAW,,,,,
2025-11-14,ORD,ZRH,747.93,UA,2026-03-22T17:10:00,2026-04-02T13:05:00,9
2025-11-15,ORD,AMS,857.93,UA,2026-03-22T19:10:00,2026-04-02T12:00:00,5
2025-11-15,ORD,BCN,,,,,
2025-11-15,ORD,BEG,,,,,
2025-11-15,ORD,BRU,751.13,UA,2026-03-22T17:55:00,2026-04-02T10:15:00,9
2025-11-15,ORD,CDG,642.73,UA,2026-03-22T19:45:00,2026-04-02T11:15:00,9
2025-11-15,ORD,CPH,,,,,
2025-11-15,ORD,DUB,825.53,IB,2026-03-22T16:50:00,2026-04-02T16:40:00,9
2025-11-15,ORD,FCO,911.23,UA,2026-03-22T16:45:00,2026-04-02T09:45:00,9
2025-11-15,ORD,FRA,851.03,UA,2026-03-22T17:20:00,2026-04-02T08:50:00,9
2025-11-15,ORD,IST,897.83,TK,2026-03-22T12:50:00,2026-04-02T06:30:00,9
2025-11-15,ORD,KEF,527.63,FI,2026-03-22T19:30:00,2026-04-02T16:25:00,1
2025-11-15,ORD,KRK,,,,,
2025-11-15,ORD,LHR,761.13,UA,2026-03-22T16:45:00,2026-04-02T08:00:00,9
2025-11-15,ORD,LIS,,,,,
2025-11-15,ORD,MAD,697.03,"AY,IB",2026-03-22T18:40:00,2026-04-02T16:40:00,7
2025-11-15,ORD,MUC,832.33,UA,2026-03-22T22:50:00,2026-04-02T11:30:00,9
2025-11-15,ORD,MXP,,,,,
2025-11-15,ORD,VIE,,,,,
2025-11-15,ORD,WAW,,,,,
2025-11-15,ORD,ZRH,748.13,UA,2026-03-22T17:10:00,2026-04-02T13:05:00,9
2025-11-16,ORD,AMS,857.93,UA,2026-03-22T19:10:00,2026-04-02T12:00:00,5
2025-11-16,ORD,BCN,,,,,
2025-11-16,ORD,BEG,,,,,
2025-11-16,ORD,BRU,751.13,UA,2026-03-22T17:55:00,2026-04-02T10:15:00,9
2025-11-16,ORD,CDG,642.73,UA,2026-03-22T19:45:00,2026-04-02T11:15:00,9
2025-11-16,ORD,CPH,,,,,
2025-11-16,ORD,DUB,785.53,UA,2026-03-22T19:35:00,2026-04-02T11:35:00,1
2025-11-16,ORD,FCO,911.23,UA,2026-03-22T16:45:00,2026-04-02T09:45:00,8
2025-11-16,ORD,FRA,851.03,UA,2026-03-22T17:20:00,2026-04-02T08:50:00,9
2025-11-16,ORD,IST,897.83,TK,2026-03-22T12:50:00,2026-04-02T06:30:00,9
2025-11-16,ORD,KEF,527.63,FI,2026-03-22T19:30:00,2026-04-02T16:25:00,1
2025-11-16,ORD,KRK,,,,,
2025-11-16,ORD,LHR,761.13,UA,2026-03-22T16:45:00,2026-04-02T08:00:00,9
2025-11-16,ORD,LIS,,,,,
2025-11-16,ORD,MAD,697.03,"AY,IB",2026-03-22T18:40:00,2026-04-02T16:40:00,7
2025-11-16,ORD,MUC,832.33,UA,2026-03-22T22:50:00,2026-04-02T11:30:00,9
2025-11-16,ORD,MXP,,,,,
2025-11-16,ORD,VIE,,,,,
2025-11-16,ORD,WAW,,,,,
2025-11-16,ORD,ZRH,748.13,UA,2026-03-22T17:10:00,2026-04-02T13:05:00,9
2025-11-17,ORD,AMS,857.93,UA,2026-03-22T19:10:00,2026-04-02T12:00:00,5
2025-11-17,ORD,BCN,,,,,
2025-11-17,ORD,BEG,,,,,
2025-11-17,ORD,BRU,751.13,UA,2026-03-22T17:55:00,2026-04-02T10:15:00,9
2025-11-17,ORD,CDG,642.73,UA,2026-03-22T19:45:00,2026-04-02T11:15:00,9
2025-11-17,ORD,CPH,,,,,
2025-11-17,ORD,DUB,785.53,UA,2026-03-22T19:35:00,2026-04-02T11:35:00,1
2025-11-17,ORD,FCO,911.23,UA,2026-03-22T16:45:00,2026-04-02T09:45:00,9
2025-11-17,ORD,FRA,851.03,UA,2026-03-22T17:20:00,2026-04-02T08:50:00,9
2025-11-17,ORD,IST,897.83,TK,2026-03-22T12:50:00,2026-04-02T06:30:00,5
2025-11-17,ORD,KEF,601.63,FI,2026-03-22T19:30:00,2026-04-02T16:25:00,6
2025-11-17,ORD,KRK,,,,,
2025-11-17,ORD,LHR,761.13,UA,2026-03-22T16:45:00,2026-04-02T08:00:00,9
2025-11-17,ORD,LIS,,,,,
2025-11-17,ORD,MAD,697.03,"AY,IB",2026-03-22T18:40:00,2026-04-02T16:40:00,7
2025-11-17,ORD,MUC,832.33,UA,2026-03-22T22:50:00,2026-04-02T11:30:00,9
2025-11-17,ORD,MXP,,,,,
2025-11-17,ORD,VIE,,,,,
2025-11-17,ORD,WAW,,,,,
2025-11-17,ORD,ZRH,748.13,UA,2026-03-22T17:10:00,2026-04-02T13:05:00,9
2025-11-18,ORD,AMS,857.93,UA,2026-03-22T19:10:00,2026-04-02T12:00:00,4
2025-11-18,ORD,BCN,,,,,
2025-11-18,ORD,BEG,,,,,
2025-11-18,ORD,BRU,751.13,UA,2026-03-22T17:55:00,2026-04-02T10:15:00,9
2025-11-18,ORD,CDG,642.83,UA,2026-03-22T19:45:00,2026-04-02T11:15:00,9
2025-11-18,ORD,CPH,,,,,
2025-11-18,ORD,DUB,785.53,UA,2026-03-22T19:35:00,2026-04-02T11:35:00,1
2025-11-18,ORD,FCO,911.23,UA,2026-03-22T16:45:00,2026-04-02T09:45:00,4
2025-11-18,ORD,FRA,849.93,UA,2026-03-22T17:20:00,2026-04-02T08:50:00,9
2025-11-18,ORD,IST,897.83,TK,2026-03-22T12:50:00,2026-04-02T06:30:00,9
2025-11-18,ORD,KEF,533.53,FI,2026-03-22T19:30:00,2026-04-02T16:25:00,1
2025-11-18,ORD,KRK,,,,,
2025-11-18,ORD,LHR,761.43,UA,2026-03-22T16:45:00,2026-04-02T08:00:00,7
2025-11-18,ORD,LIS,,,,,
2025-11-18,ORD,MAD,697.03,"AY,IB",2026-03-22T18:40:00,2026-04-02T16:40:00,2
2025-11-18,ORD,MUC,832.33,UA,2026-03-22T22:50:00,2026-04-02T11:30:00,9
2025-11-18,ORD,MXP,,,,,
2025-11-18,ORD,VIE,,,,,
2025-11-18,ORD,WAW,,,,,
2025-11-18,ORD,ZRH,748.23,UA,2026-03-22T17:10:00,2026-04-02T13:05:00,9
